Page ID,Page name,Disclaimer,Amount spent (USD)
217296671668779,Missouri Department of Elementary and Secondary Education,Missouri Department of Elementary and Secondary Education,29749
617369178379011,J&J Gaming,J&J Gaming,24003
101769576791,Health Action Network,Health Action Network,23708
239149449446107,Americans For Prosperity - Missouri,AMERICANS FOR PROSPERITY,19497
12301006942,Democrats,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,18310
107904733908466,Securing Our Future,Securing Our Future,17479
430889390116693,Modern Ag Alliance,Modern Ag Alliance,17453
104361878221567,Josh Weil - Florida Progressive Democrat,JOSH WEIL FOR CONGRESS,17004
102946544466689,No MO Slots,"No MO Slots, LLC",16556
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,15100
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,14696
110867808765700,Gay For Congress,GAY VALIMONT FOR CONGRESS,14007
127225910653607,PragerU,PragerU,12106
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,11662
161517677035264,Facts For Peace,Facts for Peace LLC,11424
179590995428478,Bank of America,BANK OF AMERICA CORPORATION,11172
107166518991571,Coalition for Responsible Gaming,"Coalition for Responsible Gaming, LLC",10882
105355541639242,Modern Market,Modern Market,10582
19437978960,Chris Murphy,FRIENDS OF CHRIS MURPHY,10580
100520488042829,Main Street Financial,Main Street Financial,9186
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,8631
118858139867,Missouri's Children's Trust Fund,Missouri's Children's Trust Fund,7557
33110852384,Doctors Without Borders/Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières USA,7298
18982436812,ACLU,American Civil Liberties Union,7076
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,6860
315155885201656,Missouri Department of Health and Senior Services,Missouri Department of Health and Senior Services,6440
385473284886474,Hillsdale College,Hillsdale College,6404
57259033959,AARP,AARP,6212
443329669123990,USAFacts,USAFacts Institute,5988
124955570892789,Bernie Sanders,Friends of Bernie Sanders,5859
107661474402498,United Patriot,United Patriot,5834
297250000141840,Freedom Asset Advocates,Freedom Asset Advocates,5703
107483817554072,WorkMoney,WorkMoney,5640
167586229923327,World Food Program USA,World Food Program USA,5580
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,5530
360976103775768,Stimi Resources,American Stimulus Resources Group,5114
20787991568,Senate Democrats,DSCC,5099
113284395073415,Your American Home,Your American Home,4912
92925746942,Judicial Watch,Judicial Watch,4875
200650357207240,I Love My Freedom,I Love My Freedom,4309
415275128346947,Assistance Finder USA,RFY News Group,4236
536294796240278,Yes for KC Kids,Yes for KC Kids,4225
122421550289,Growth Energy,Growth Energy,4167
85452072376,NEWSMAX,"NEWSMAX MEDIA, INC.",4010
111824001908,Hakeem Jeffries,JEFFRIES FOR CONGRESS,3963
204951446028016,Health Rights Hub,Advantage Relief Programs,3937
1338822066131069,Women's March,Women's March,3821
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,3808
717339155320936,Better Solutions for Healthcare,Better Solutions for Healthcare,3804
103910725985046,Forward Blue,Forward Blue,3785
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,3782
140357056032320,NEA Today,National Education Association,3740
6204742571,Sierra Club,SIERRA CLUB,3733
348592111669859,What's Up With Hate,"Foundation to Combat Anti-Semitism, Inc.",3695
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",3587
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,3572
194477430420674,Alternative Health Remedies,Alternative Health Remedies,3478
100494606092644,End The Wokeness,End The Wokeness,3471
15771560300,Earthjustice,EARTHJUSTICE,3376
121794934360343,Eugene Vindman for Congress,Vindman for Congress,3308
158791100909689,Concerned Veterans for America,Concerned Veterans for America,3206
8501031021,VoteVets,VOTEVETS,3192
331673730025709,Susan Crawford for Wisconsin,SUSAN CRAWFORD FOR WISCONSIN,3058
457661727438993,USA Veteran Benefits,USA Veteran Benefits,3019
1528582864058061,Missouri Century Foundation,Missouri Century Foundation,2887
397207347056799,Voices for Healthy Kids,AMERICAN HEART ASSOCIATION INC,2831
192771954102960,Jordan Sekulow,American Center for Law and Justice,2792
482100658584410,We Stand For Energy,"EDISON ELECTRIC INSTITUTE, INC.",2766
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,2762
1465701377009820,Maga.com,Maga.com,2744
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",2687
116747078336398,Missouri Health Matters,Missouri Health Matters,2656
108186838866708,dub Invest,DASTA Incorporated,2651
171798182676224,Know2Protect,Know2Protect,2579
381174495077894,Disclosed Advisors,DASTA Incorporated,2578
362091390331060,Trusted Local,Trusted Local Care Association,2523
103018668250288,BLAQUE KC,BLAQUE,2500
527773473745830,Smart Coverage Solutions,Advantage Relief Programs,2426
15041226930,Oxfam,"Oxfam America, Inc.",2420
253312980194,Community Catalyst,COMMUNITY CATALYST INC,2412
185598477964754,Patriotic Savants,Patriotic Savants,2383
103079366224267,Conservatives for Lower Health Care Costs,Conservatives for Lower Health Care Costs,2368
